time(sec), speed(km/h), roll angle, FL force, FR force, RL force, RR force, FL long-slip, FR long-slip, RL long-slip, RR long-slip, FL lat-slip, FR lat-slip, RL lat-slip, RR lat-slip 
0.02, 0.7097503, 0.008673868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.04, 1.415154, 0.01792772, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.06, 2.121067, 0.027175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.08, 2.827172, 0.03641475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.09999999, 3.533365, 0.04564721, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.12, 4.239602, 0.0548722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.14, 4.94586, 0.06408973, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.16, 5.652138, 0.07329991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.18, 6.358424, 0.08250272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.2, 7.064717, 0.09169804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.22, 7.771017, 0.100886, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.24, 8.477319, 0.1100666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.26, 9.183624, 0.1192398, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.28, 9.889933, 0.1284056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.3, 10.59624, 0.137564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.32, 11.30255, 0.1467151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.34, 12.00887, 0.1558589, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.36, 12.71518, 0.1649953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.38, 13.4215, 0.1741243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4, 14.12781, 0.183246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.42, 14.83412, 0.1923603, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4400001, 15.54044, 0.2014674, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4600001, 16.24676, 0.2105671, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0 
0.4800001, 15.79847, 0.2238442, 8506.578, 8759.615, 10729.07, 11037.26, 0.994803, 0.9947519, 0.994793, 0.9947521, -0.1443254, -0.1429347, -0.1285949, -0.1273523 
0.5000001, 14.81645, 0.1583069, 9429.952, 9173.354, 12513.16, 12217.48, 0.9873627, 0.987411, 0.9869445, 0.987031, 0.02784761, 0.02761309, 0.0416343, 0.0412839 
0.52, 9.082644, 0.1562854, 4550.69, 6011.386, 5324.377, 5259.256, 0.9787984, 0.9792171, 0.9771347, 0.9776861, -0.02499464, -0.02485695, -0.02045415, -0.02032706 
0.54, 5.810834, -0.002684022, 2885.598, 2713.627, 5319.217, 5254.158, 0.9705974, 0.971576, 0.962841, 0.9647667, 0.03538657, 0.03589185, 0.01249998, 0.0126715 
0.56, 6.537457, -0.05419922, 1430.621, 1550.289, 4696.43, 4803.335, 0.9746463, 0.9754553, 0.9666886, 0.9687753, 0.0002401577, 0.000244339, -0.02826661, -0.02877129 
0.58, 7.216171, -0.07525635, 1326.22, 1444.159, 3314.665, 3434.691, 0.9747742, 0.9753596, 0.965192, 0.9672002, 0.01080083, 0.0109604, -0.01291089, -0.01310244 
