time(sec), speed(km/h), roll angle, FL force, FR force, RL force, RR force, FL long-slip, FR long-slip, RL long-slip, RR long-slip, FL lat-slip, FR lat-slip, RL lat-slip, RR lat-slip 
0.02,0.7060124,0.000490899,0,0,0,0,0,0,0,0,0,0,0,0
0.04,1.412302,0.000981352,0,0,0,0,0,0,0,0,0,0,0,0
0.06,2.118612,0.00147136,0,0,0,0,0,0,0,0,0,0,0,0
0.08,2.824928,0.001960924,0,0,0,0,0,0,0,0,0,0,0,0
0.09999999,3.531244,0.002450044,0,0,0,0,0,0,0,0,0,0,0,0
0.12,4.237562,0.002938719,0,0,0,0,0,0,0,0,0,0,0,0
0.14,4.943881,0.00342695,0,0,0,0,0,0,0,0,0,0,0,0
0.16,5.6502,0.003914739,0,0,0,0,0,0,0,0,0,0,0,0
0.18,6.356519,0.004402086,0,0,0,0,0,0,0,0,0,0,0,0
0.2,7.062839,0.00488899,0,0,0,0,0,0,0,0,0,0,0,0
0.22,7.769158,0.005375451,0,0,0,0,0,0,0,0,0,0,0,0
0.24,8.475477,0.005861472,0,0,0,0,0,0,0,0,0,0,0,0
0.26,9.181797,0.006347053,0,0,0,0,0,0,0,0,0,0,0,0
0.28,9.888115,0.006832192,0,0,0,0,0,0,0,0,0,0,0,0
0.3,10.59443,0.007316891,0,0,0,0,0,0,0,0,0,0,0,0
0.32,11.30075,0.007801151,0,0,0,0,0,0,0,0,0,0,0,0
0.34,12.00707,0.008284971,0,0,0,0,0,0,0,0,0,0,0,0
0.36,12.71339,0.008768352,0,0,0,0,0,0,0,0,0,0,0,0
0.38,13.41971,0.009251296,0,0,0,0,0,0,0,0,0,0,0,0
0.4,14.12603,0.0097338,0,0,0,0,0,0,0,0,0,0,0,0
0.42,14.83235,0.01021587,0,0,0,0,0,0,0,0,0,0,0,0
0.4400001,15.53867,0.01069751,0,0,0,0,0,0,0,0,0,0,0,0
0.4600001,16.24499,0.0111787,0,0,0,0,0,0,0,0,0,0,0,0
0.4800001,15.77474,0.1669047,8604.543,8619.169,10883.39,10911.83,0.9949324,0.9945603,0.9948623,0.9944859,-0.07659756,-0.07428052,-0.02586866,-0.02508356
0.5000001,14.74138,0.07439633,9641.105,9098.929,12555.09,11927.64,0.9878179,0.9871324,0.9872446,0.9865319,0.05382586,0.05192521,0.112969,0.1090049
0.52,14.15931,0.1702038,4550.71,4485.589,5324.401,5657.753,0.9795463,0.9795148,0.9776207,0.9776074,-0.02034786,-0.02016399,-0.009224642,-0.009114187
0.54,7.166072,9.40E-07,4550.695,4485.574,5324.384,5259.262,0.9750195,0.9747678,0.9716698,0.971343,0.02160153,0.0211833,0.04603842,0.045259
0.56,8.684627,-0.003171155,3908.32,3547.674,4587.271,4173.822,0.968473,0.9686947,0.962794,0.9630497,0.000487605,0.000484761,0.01003073,0.009972155
0.58,9.682794,0.08139167,1639.735,1606.895,4333.62,4269.622,0.9614768,0.9624983,0.9487699,0.9504564,-0.02636961,-0.02644062,-0.03073258,-0.03081532
0.6,10.71829,0.08066699,1366.943,1025.677,4334.252,3904.083,0.9566622,0.9577704,0.9338776,0.9367167,0.006182808,0.006147283,0.01552292,0.01543402
0.6199999,11.67743,0.1653505,1052.803,923.1152,4007.607,3824.198,0.9522457,0.9544587,0.9150701,0.9217153,-0.007900103,-0.007942318,-0.01658528,-0.01667416
0.6399999,12.58979,0.1487335,994.8138,682.9731,3924.015,3527.121,0.9487454,0.9511519,0.8903821,0.9015443,0.008410137,0.008411606,0.008128572,0.008129993
0.6599999,13.44643,0.1991239,787.4036,712.2305,3603.385,3484.287,0.9454214,0.9489343,0.85728,0.8785991,-0.008517503,-0.008595332,-0.02336,-0.0235746
0.6799999,14.32782,0.1809671,839.856,523.6769,3606.895,3206.191,0.9422274,0.9458135,0.8001726,0.839718,0.01128341,0.01130848,0.007709183,0.007726375
0.6999999,15.19971,0.2190728,710.8655,625.8859,3354.967,3226.224,0.9389725,0.9434777,0.6842609,0.7888033,-0.007106768,-0.007153962,-0.01797116,-0.01809147
